Station_Code,Station_Name,Line_Color,Line_Name,lat,lng,adjacent_stations
NS1,Jurong East,Red,North South Line,1.333207,103.742308,NS2#EW24
EW24,Jurong East,Green,East West Line,1.333207,103.742308,EW23#EW25#NS1
NS2,Bukit Batok,Red,North South Line,1.349069,103.749596,NS3#NS1
NS3,Bukit Gombak,Red,North South Line,1.359043,103.751863,NS4#NS2
NS4,Choa Chu Kang,Red,North South Line,1.385417,103.744316,NS5#NS3
NS5,Yew Tee,Red,North South Line,1.397383,103.747523,NS4#NS7
NS7,Kranji,Red,North South Line,1.425302,103.762049,NS8#NS5
NS8,Marsiling,Red,North South Line,1.432579,103.77415,NS7#NS9
NS9,Woodlands,Red,North South Line,1.436984,103.786406,NS8#NS10#TE2
TE2,Woodlands,Brown,Thomson East Coast Line,1.436984,103.786406,TE1#TE3#NS9
NS10,Admiralty,Red,North South Line,1.436984,103.786406,NS11#NS9
NS11,Sembawang,Red,North South Line,1.449133,103.82006,NS12#NS10
NS12,Canberra,Red,North South Line,1.4433,103.8296,NS13#NS11
NS13,Yishun,Red,North South Line,1.429666,103.835044,NS12#NS14
NS14,Khatib,Red,North South Line,1.417423,103.832995,NS13#NS15
NS15,Yio Chu Kang,Red,North South Line,1.381765,103.844923,NS14#NS16
NS16,Ang Mo Kio,Red,North South Line,1.370025,103.849588,NS17#NS15
NS17,Bishan,Red,North South Line,1.35092,103.848206,CC15#NS16#NS18
CC15,Bishan,Yellow,Circle Line,1.35092,103.848206,NS17#CC14#CC16
NS18,Braddell,Red,North South Line,1.34055,103.847098,NS17#NS19
NS19,Toa Payoh,Red,North South Line,1.332405,103.847436,NS20#NS18
NS20,Novena,Red,North South Line,1.320089,103.843405,NS19#NS21
NS21,Newton,Red,North South Line,1.31383,103.838021,DT11#NS20#NS22
DT11,Newton,Blue,Downtown Line,1.31383,103.838021,DT12#DT10#NS21
NS22,Orchard,Red,North South Line,1.304041,103.831792,TE14#NS23#NS21
TE14,Orchard,Brown,Thomson East Coast Line,1.304041,103.831792,NS22
NS23,Somerset,Red,North South Line,1.300508,103.838428,NS24#NS22
NS24,Dhoby Ghaut,Red,North South Line,1.299169,103.845799,CC1#NS23#NE6#NS25
NE6,Dhoby Ghaut,Purple,North East Line,1.299169,103.845799,NE5#NS24#CC1#NE7
CC1,Dhoby Ghaut,Yellow,Circle Line,1.299169,103.845799,NS24#CC2#NE6
NS25,City Hall,Red,North South Line,1.293119,103.852089,NS24#NS26#EW13
EW13,City Hall,Green,East West Line,1.293119,103.852089,EW14#EW12#NS25
NS26,Raffles Place,Red,North South Line,1.284001,103.85155,EW14#NS27#NS25
EW14,Raffles Place,Green,East West Line,1.284001,103.85155,EW13#NS26#EW15
NS27,Marina Bay,Red,North South Line,1.276481,103.854598,CE2#NS26#TE20#NS28
CE2,Marina Bay,Yellow,Circle Line,1.276481,103.854598,NS27#CE1#TE20
TE20,Marina Bay,Brown,Thomson East Coast Line,1.276481,103.854598,CE2#NS27
NS28,Marina South Pier,Red,North South Line,1.271422,103.863581,NS27
EW1,Pasir Ris,Green,East West Line,1.373234,103.949343,EW2
EW2,Tampines,Green,East West Line,1.354467,103.943325,DT32#EW3#EW1
DT32,Tampines,Blue,Downtown Line,1.354467,103.943325,EW2#DT31#DT33
EW3,Simei,Green,East West Line,1.343237,103.953343,EW2#EW4
EW4,Tanah Merah,Green,East West Line,1.327309,103.946479,EW3#CG#EW5
CG,Tanah Merah,Green,Changi Airport Branch Line,1.327309,103.946479,CG1#EW4
EW5,Bedok,Green,East West Line,1.324043,103.930205,EW6#EW4
EW6,Kembangan,Green,East West Line,1.320998,103.913433,EW5#EW7
EW7,Eunos,Green,East West Line,1.319809,103.902888,EW6#EW8
EW8,Paya Lebar,Green,East West Line,1.318214,103.893133,CC9#EW9#EW7
CC9,Paya Lebar,Yellow,Circle Line,1.318214,103.893133,EW8#CC10#CC8
EW9,Aljunied,Green,East West Line,1.316474,103.882762,EW10#EW8
EW10,Kallang,Green,East West Line,1.311532,103.871372,EW11#EW9
EW11,Lavender,Green,East West Line,1.307577,103.863155,EW10#EW12
EW12,Bugis,Green,East West Line,1.300747,103.855873,EW11#DT14#EW13
DT14,Bugis,Blue,Downtown Line,1.300747,103.855873,DT15#EW12#DT13
EW15,Tanjong Pagar,Green,East West Line,1.276385,103.846771,EW14#EW16
EW16,Outram Park,Green,East West Line,1.280319,103.839459,TE17#EW17#NE3#EW15
NE3,Outram Park,Purple,North East Line,1.280319,103.839459,NE1#TE17#NE4#EW16
TE17,Outram Park,Brown,Thomson East Coast Line,1.280319,103.839459,EW16#NE3
EW17,Tiong Bahru,Green,East West Line,1.286555,103.826956,EW18#EW16
EW18,Redhill,Green,East West Line,1.289674,103.816787,EW17#EW19
EW19,Queenstown,Green,East West Line,1.294867,103.805902,EW20#EW18
EW20,Commonwealth,Green,East West Line,1.302439,103.798326,EW21#EW19
EW21,Buona Vista,Green,East West Line,1.307337,103.790046,EW20#EW22#CC22
CC22,Buona Vista,Yellow,Circle Line,1.307337,103.790046,EW21#CC21#CC23
EW22,Dover,Green,East West Line,1.311414,103.778596,EW23#EW21
EW23,Clementi,Green,East West Line,1.314925,103.765341,EW22#EW24
EW25,Chinese Garden,Green,East West Line,1.342436,103.732582,EW26#EW24
EW26,Lakeside,Green,East West Line,1.344264,103.720797,EW25#EW27
